EmployeeID,Age,Department,JobRole,Gender,MaritalStatus,EducationField,Education,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,PerformanceRating,OverTime,TrainingTimesLastYear,NumCompaniesWorked,TotalWorkingYears,DistanceFromHome,Attrition,AgeBand
15,41,Research & Development,Research Scientist,Female,Married,Life Sciences,5,Travel_Rarely,9,7,13,7,6323,12,2,2,2,1,4,3,No,6,3,14,15,No,36-45
16,20,Research & Development,Research Scientist,Male,Single,Life Sciences,2,Travel_Rarely,3,1,2,0,6816,17,1,1,2,3,4,4,No,6,3,15,13,No,18-25
17,39,Human Resources,Manager,Male,Single,Life Sciences,3,Travel_Rarely,1,0,1,0,9059,25,3,2,1,2,2,3,No,1,7,10,7,Yes,36-45
18,19,Research & Development,Healthcare Representative,Male,Married,Life Sciences,2,Non-Travel,14,8,7,10,6232,24,1,4,3,1,1,3,No,6,9,19,3,No,18-25
19,41,Research & Development,Laboratory Technician,Male,Single,Marketing,5,Travel_Rarely,16,7,4,11,4286,21,3,4,4,2,1,3,Yes,1,2,23,24,No,36-45
20,47,Research & Development,Laboratory Technician,Male,Single,Life Sciences,3,Travel_Rarely,4,3,0,2,3954,22,3,2,4,3,3,3,No,2,0,11,23,No,46-55
21,55,Research & Development,Manager,Female,Married,Life Sciences,3,Non-Travel,0,0,11,0,11039,25,0,4,3,4,4,3,No,6,4,14,27,No,46-55
22,19,Research & Development,Manager,Male,Married,Medical,5,Travel_Rarely,0,0,1,0,9262,17,3,3,2,3,3,3,No,0,7,5,13,No,18-25
23,38,Research & Development,Research Scientist,Male,Married,Life Sciences,3,Travel_Rarely,5,2,0,2,7407,23,1,2,3,4,1,3,Yes,6,2,11,16,No,36-45
24,50,Research & Development,Laboratory Technician,Male,Single,Life Sciences,3,Travel_Rarely,0,0,14,0,3092,19,0,3,1,4,1,3,Yes,5,1,3,23,Yes,46-55
25,29,Sales,Sales Executive,Female,Married,Technical Degree,2,Travel_Rarely,3,2,5,2,4615,20,3,2,2,3,4,3,Yes,0,0,3,1,Yes,26-35
26,39,Sales,Sales Representative,Male,Married,Marketing,3,Travel_Rarely,2,1,8,1,3564,19,2,2,3,1,3,3,No,6,3,5,1,Yes,36-45
27,42,Sales,Sales Executive,Female,Divorced,Human Resources,5,Travel_Rarely,7,3,10,5,5950,19,2,3,3,2,4,3,No,0,1,14,28,No,36-45
28,44,Research & Development,Research Director,Female,Married,Technical Degree,1,Travel_Rarely,0,0,6,0,12511,16,3,2,1,2,1,3,Yes,6,7,11,16,Yes,36-45
29,59,Sales,Sales Executive,Female,Divorced,Marketing,1,Travel_Rarely,4,1,4,0,4396,18,0,4,3,2,1,3,Yes,1,9,16,2,Yes,55+
30,45,Human Resources,Manager,Male,Married,Life Sciences,1,Travel_Rarely,5,2,11,3,11594,19,0,3,2,4,4,3,Yes,3,8,12,18,No,36-45
31,33,Sales,Sales Executive,Male,Married,Marketing,5,Non-Travel,5,1,12,1,6438,22,0,2,4,4,3,4,No,1,9,18,27,No,26-35
32,32,Research & Development,Research Director,Female,Single,Technical Degree,1,Travel_Frequently,3,0,2,1,10945,24,1,4,4,3,2,3,Yes,4,0,4,21,No,26-35
33,20,Sales,Manager,Female,Married,Technical Degree,2,Travel_Rarely,2,0,11,1,11307,17,2,3,4,1,4,3,No,6,1,16,25,Yes,18-25
34,54,Research & Development,Research Scientist,Female,Married,Medical,5,Travel_Rarely,6,3,11,1,5000,14,3,3,2,3,1,3,No,2,5,12,23,No,46-55
35,24,Human Resources,Human Resources,Male,Married,Life Sciences,5,Travel_Rarely,11,8,7,2,3607,24,3,4,3,3,2,3,No,0,9,23,18,Yes,18-25
36,38,Research & Development,Manufacturing Director,Male,Married,Technical Degree,5,Travel_Rarely,7,3,9,5,10541,14,2,2,3,1,4,4,No,4,6,7,5,No,36-45
37,26,Research & Development,Manufacturing Director,Male,Married,Marketing,3,Travel_Rarely,16,14,3,10,8791,16,1,2,3,4,2,4,No,5,1,17,5,No,26-35
38,56,Sales,Sales Executive,Female,Married,Other,3,Travel_Rarely,7,4,8,3,4737,24,0,3,3,3,4,3,No,4,7,20,8,No,55+
39,35,Research & Development,Manufacturing Director,Male,Married,Life Sciences,3,Non-Travel,8,7,4,6,9705,21,2,1,4,3,1,3,No,3,9,15,9,Yes,26-35
40,21,Sales,Sales Representative,Male,Single,Life Sciences,4,Travel_Rarely,1,0,13,0,4672,14,3,2,2,4,4,3,No,6,8,11,24,Yes,18-25
41,42,Human Resources,Manager,Female,Divorced,Life Sciences,2,Travel_Rarely,3,2,5,1,10614,21,1,2,1,2,2,3,No,0,7,12,14,No,36-45
42,31,Sales,Sales Representative,Male,Single,Technical Degree,5,Non-Travel,3,2,4,2,3529,17,3,4,2,1,3,4,No,1,8,17,13,No,26-35
43,26,Research & Development,Manufacturing Director,Female,Single,Life Sciences,5,Travel_Rarely,1,0,9,0,8719,18,0,1,3,1,1,3,No,0,5,13,18,Yes,26-35
44,43,Research & Development,Healthcare Representative,Male,Married,Life Sciences,3,Travel_Rarely,4,3,11,1,6507,18,2,1,3,2,1,3,No,2,6,16,4,No,36-45
45,19,Sales,Manager,Male,Married,Other,5,Travel_Rarely,2,0,10,1,7564,24,0,3,2,1,2,3,No,0,5,5,18,Yes,18-25
46,37,Sales,Sales Executive,Male,Married,Life Sciences,5,Travel_Rarely,6,3,6,5,4651,18,1,4,2,2,4,3,No,4,6,19,22,No,36-45
47,45,Sales,Sales Representative,Female,Single,Technical Degree,1,Travel_Rarely,3,2,6,0,3771,12,2,4,4,3,4,4,Yes,4,2,5,20,No,36-45
48,24,Research & Development,Research Director,Male,Married,Life Sciences,5,Travel_Frequently,3,1,0,0,11044,24,0,2,3,1,4,3,No,1,3,16,15,No,18-25
49,25,Research & Development,Manufacturing Director,Male,Married,Technical Degree,4,Non-Travel,24,21,1,18,8027,20,0,3,2,1,1,3,No,1,8,25,7,No,18-25
50,52,Sales,Sales Executive,Female,Divorced,Medical,3,Non-Travel,2,1,6,0,4895,12,0,2,3,3,1,3,No,1,2,12,13,Yes,46-55
51,31,Research & Development,Research Scientist,Male,Divorced,Human Resources,2,Travel_Rarely,2,1,7,0,4536,12,1,1,2,4,2,3,No,5,1,7,2,Yes,26-35
52,34,Sales,Sales Representative,Male,Married,Human Resources,2,Non-Travel,2,1,3,1,2868,12,0,4,3,4,4,4,Yes,6,6,5,9,Yes,26-35
53,53,Research & Development,Laboratory Technician,Male,Married,Life Sciences,1,Non-Travel,13,5,5,6,3095,14,3,3,2,3,4,4,No,2,5,15,5,No,46-55
54,57,Sales,Sales Executive,Male,Married,Life Sciences,2,Travel_Rarely,4,2,10,2,5591,15,2,2,3,1,2,4,No,5,2,6,1,Yes,55+
55,21,Sales,Sales Executive,Female,Single,Life Sciences,2,Travel_Rarely,5,3,11,1,5669,14,2,2,1,1,1,3,Yes,5,5,14,28,Yes,18-25
56,19,Sales,Manager,Male,Married,Medical,3,Travel_Frequently,1,0,9,0,9867,25,0,1,4,1,1,3,No,5,6,3,27,Yes,18-25
57,23,Research & Development,Research Scientist,Male,Married,Human Resources,3,Travel_Rarely,4,2,2,2,5752,15,1,4,1,2,3,3,Yes,0,5,15,19,No,18-25
58,59,Research & Development,Laboratory Technician,Male,Divorced,Medical,4,Travel_Rarely,1,0,6,0,3044,14,3,1,4,4,3,3,Yes,3,0,8,20,Yes,55+
59,21,Research & Development,Healthcare Representative,Female,Single,Medical,1,Travel_Frequently,7,3,10,3,5410,17,3,2,4,1,4,3,Yes,6,0,15,19,Yes,18-25
60,46,Sales,Sales Executive,Male,Married,Life Sciences,2,Travel_Rarely,10,8,2,6,4416,20,2,4,2,4,1,3,No,0,8,18,22,No,46-55
61,35,Research & Development,Manufacturing Director,Male,Married,Technical Degree,4,Travel_Rarely,7,5,10,5,6953,11,2,4,1,4,4,3,No,1,5,11,29,No,26-35
62,43,Research & Development,Healthcare Representative,Male,Married,Other,1,Travel_Rarely,7,3,6,5,5095,24,3,1,4,1,1,3,Yes,2,1,7,13,Yes,36-45
63,51,Sales,Sales Executive,Male,Single,Life Sciences,2,Travel_Rarely,4,1,11,1,6986,23,2,4,3,3,3,3,No,5,0,13,6,No,46-55
64,27,Research & Development,Research Scientist,Male,Divorced,Medical,2,Travel_Rarely,7,6,10,5,5477,11,0,1,2,3,2,3,Yes,0,1,11,10,No,26-35
65,53,Human Resources,Manager,Male,Married,Life Sciences,3,Travel_Rarely,3,2,11,2,12256,12,3,4,2,4,1,4,No,6,7,3,29,No,46-55
66,31,Sales,Manager,Female,Married,Medical,5,Travel_Rarely,6,2,10,4,9318,23,2,4,3,2,3,3,Yes,4,4,14,11,No,26-35
67,48,Research & Development,Research Scientist,Male,Single,Medical,1,Travel_Rarely,1,0,7,0,5848,11,0,3,3,4,3,3,Yes,6,6,13,23,Yes,46-55
68,32,Research & Development,Research Director,Female,Married,Life Sciences,2,Non-Travel,0,0,2,0,12143,22,0,4,4,4,1,4,Yes,5,6,9,25,No,26-35
69,25,Research & Development,Research Scientist,Female,Married,Medical,1,Travel_Rarely,3,2,1,2,4709,25,3,2,3,3,4,3,No,6,1,15,16,Yes,18-25
70,31,Sales,Sales Representative,Male,Single,Life Sciences,4,Travel_Rarely,3,1,11,0,3182,20,0,3,2,1,1,3,No,0,3,17,26,No,26-35
71,40,Sales,Sales Executive,Male,Single,Medical,4,Travel_Rarely,1,0,5,0,6921,22,3,1,3,1,3,3,No,4,1,8,25,No,36-45
72,57,Research & Development,Healthcare Representative,Male,Divorced,Medical,5,Non-Travel,7,4,3,4,5738,22,0,2,1,2,1,3,Yes,0,6,13,23,Yes,55+
73,38,Human Resources,Manager,Female,Single,Life Sciences,2,Travel_Rarely,0,0,7,0,7439,20,3,1,2,3,2,3,No,0,4,1,27,Yes,36-45
74,33,Research & Development,Manufacturing Director,Male,Single,Marketing,3,Travel_Rarely,1,0,12,0,6627,23,3,1,3,3,4,4,No,5,0,2,1,Yes,26-35
75,35,Research & Development,Manufacturing Director,Male,Married,Marketing,2,Travel_Rarely,8,4,14,5,10754,24,3,2,2,4,1,3,Yes,0,1,21,19,No,26-35
76,41,Research & Development,Research Director,Male,Married,Life Sciences,1,Non-Travel,3,1,13,1,12578,21,3,1,4,3,3,3,Yes,1,5,6,5,No,36-45
77,43,Research & Development,Healthcare Representative,Female,Single,Life Sciences,4,Travel_Rarely,7,6,1,5,5590,13,0,3,1,4,3,3,Yes,6,3,15,26,No,36-45
78,42,Research & Development,Laboratory Technician,Female,Married,Marketing,1,Travel_Frequently,5,4,3,3,2873,16,3,2,4,2,4,3,No,4,6,18,28,No,36-45
79,58,Sales,Sales Executive,Male,Single,Other,5,Travel_Rarely,18,14,1,6,6490,20,2,1,1,3,1,3,No,2,1,26,27,Yes,55+
80,46,Research & Development,Healthcare Representative,Female,Single,Life Sciences,4,Travel_Rarely,5,3,13,1,5172,21,0,1,3,3,3,3,No,3,1,18,6,No,46-55
81,32,Research & Development,Manager,Male,Single,Life Sciences,3,Travel_Rarely,0,0,1,0,9462,16,3,4,2,4,4,3,Yes,6,5,7,6,No,26-35
82,18,Research & Development,Research Director,Male,Divorced,Life Sciences,4,Travel_Rarely,2,1,1,0,11490,11,0,4,3,3,2,3,No,5,7,12,5,Yes,18-25
83,42,Sales,Sales Executive,Female,Single,Medical,2,Non-Travel,0,0,0,0,5060,16,0,1,4,1,4,3,No,4,0,14,6,No,36-45
84,24,Sales,Manager,Male,Single,Life Sciences,2,Travel_Rarely,15,12,3,10,10594,15,0,2,2,2,1,3,Yes,1,4,19,25,Yes,18-25
85,26,Sales,Manager,Male,Married,Life Sciences,4,Travel_Rarely,0,0,1,0,11980,17,0,3,3,1,1,3,No,4,0,13,13,Yes,26-35
86,41,Research & Development,Laboratory Technician,Male,Divorced,Marketing,5,Travel_Rarely,2,1,8,1,4090,16,3,1,3,4,3,3,No,2,5,8,1,No,36-45
87,18,Human Resources,Manager,Female,Single,Medical,2,Travel_Rarely,1,0,8,0,9260,22,0,1,2,4,2,3,Yes,5,6,12,1,Yes,18-25
88,25,Sales,Sales Representative,Female,Married,Life Sciences,2,Travel_Rarely,11,9,10,6,3404,22,2,1,2,4,1,3,No,4,5,19,25,No,18-25
89,41,Research & Development,Manufacturing Director,Female,Single,Medical,3,Travel_Rarely,2,1,10,1,7770,17,0,4,4,2,3,4,No,6,8,4,14,No,36-45
90,28,Research & Development,Research Director,Female,Married,Medical,4,Travel_Rarely,28,19,6,6,9586,12,0,2,1,3,4,4,No,1,2,31,8,No,26-35
91,34,Research & Development,Research Scientist,Male,Married,Life Sciences,2,Travel_Rarely,0,0,5,0,6028,22,2,1,1,1,4,3,No,5,7,1,9,Yes,26-35
92,25,Sales,Manager,Male,Married,Life Sciences,5,Travel_Rarely,0,0,11,0,9449,11,3,4,2,3,1,3,Yes,1,2,8,23,Yes,18-25
93,52,Research & Development,Research Scientist,Male,Married,Human Resources,1,Travel_Rarely,1,0,2,0,4838,24,2,1,1,4,2,3,No,5,6,7,10,Yes,46-55
94,52,Research & Development,Healthcare Representative,Male,Single,Life Sciences,4,Travel_Rarely,9,7,13,5,4669,17,1,1,4,3,3,3,No,3,4,14,6,No,46-55
95,50,Sales,Sales Representative,Male,Single,Marketing,3,Travel_Rarely,12,8,11,7,3520,19,2,2,1,2,1,3,No,2,0,16,9,No,46-55
96,22,Sales,Sales Executive,Female,Married,Human Resources,2,Travel_Rarely,0,0,13,0,5686,12,3,4,2,4,3,3,No,3,3,11,18,No,18-25
97,59,Research & Development,Healthcare Representative,Male,Single,Life Sciences,5,Travel_Rarely,0,0,14,0,6009,22,2,3,4,3,4,3,No,6,8,6,15,Yes,55+
98,56,Human Resources,Manager,Male,Married,Life Sciences,4,Travel_Rarely,8,4,6,4,9825,17,0,2,2,1,3,3,Yes,6,7,10,4,Yes,55+
99,58,Sales,Manager,Male,Divorced,Medical,5,Travel_Rarely,0,0,0,0,11189,13,3,3,4,4,4,3,Yes,6,2,4,2,Yes,55+
100,45,Research & Development,Laboratory Technician,Male,Divorced,Human Resources,5,Non-Travel,0,0,8,0,3975,16,1,4,4,4,2,3,Yes,0,1,1,6,No,36-45
101,24,Human Resources,Manager,Female,Divorced,Other,3,Non-Travel,0,0,3,0,9509,13,3,4,2,2,2,3,Yes,6,8,4,17,Yes,18-25
102,26,Research & Development,Research Scientist,Male,Married,Marketing,4,Travel_Rarely,0,0,5,0,4810,23,0,3,3,2,4,3,Yes,1,0,6,7,Yes,26-35
103,25,Human Resources,Human Resources,Male,Married,Life Sciences,2,Travel_Rarely,1,0,5,0,4472,20,1,4,2,1,1,3,No,3,8,15,23,Yes,18-25
104,29,Research & Development,Manager,Female,Single,Medical,3,Non-Travel,0,0,10,0,9259,23,3,2,4,3,4,4,No,1,6,10,23,No,26-35
105,51,Research & Development,Manufacturing Director,Male,Married,Medical,2,Travel_Rarely,2,0,2,1,7062,21,3,1,2,3,3,3,No,5,1,11,20,No,46-55
106,50,Research & Development,Manager,Male,Married,Medical,1,Non-Travel,10,5,3,4,12501,21,0,3,2,4,3,4,No,1,4,20,15,No,46-55
107,40,Research & Development,Manager,Male,Married,Life Sciences,5,Travel_Rarely,2,1,12,1,9196,21,2,1,4,4,3,3,No,0,1,8,24,No,36-45
108,41,Research & Development,Research Scientist,Male,Married,Life Sciences,1,Travel_Rarely,7,4,10,3,6465,15,2,3,1,3,1,3,Yes,1,4,15,21,Yes,36-45
109,54,Research & Development,Research Director,Female,Single,Technical Degree,5,Non-Travel,0,0,9,0,10393,25,1,1,4,3,2,3,No,5,6,2,2,Yes,46-55
110,52,Sales,Sales Executive,Female,Single,Medical,3,Travel_Rarely,6,4,2,1,4428,12,0,1,2,3,2,3,No,5,4,13,21,No,46-55
111,57,Research & Development,Healthcare Representative,Male,Divorced,Life Sciences,2,Non-Travel,2,1,12,0,4333,18,0,2,4,4,3,3,Yes,3,1,6,12,No,55+
112,39,Research & Development,Healthcare Representative,Female,Single,Life Sciences,2,Travel_Rarely,8,5,5,4,6112,24,2,1,4,2,1,3,No,6,4,14,10,Yes,36-45
113,44,Research & Development,Laboratory Technician,Male,Married,Technical Degree,3,Travel_Rarely,0,0,0,0,3034,18,2,3,1,2,3,3,Yes,2,9,0,25,Yes,36-45
114,52,Research & Development,Research Scientist,Male,Divorced,Marketing,4,Non-Travel,13,7,7,6,5204,17,1,1,3,1,2,3,Yes,4,5,13,26,No,46-55
115,18,Research & Development,Research Director,Male,Married,Life Sciences,1,Travel_Rarely,1,0,7,0,13054,16,2,4,2,3,4,3,Yes,3,4,4,17,No,18-25
116,52,Sales,Sales Representative,Male,Married,Life Sciences,1,Travel_Rarely,2,1,8,1,3769,11,1,1,2,3,3,4,No,0,1,6,27,No,46-55
117,54,Sales,Manager,Male,Single,Life Sciences,2,Non-Travel,17,12,5,6,7358,18,3,1,1,3,3,3,No,4,5,29,18,No,46-55
118,31,Sales,Sales Representative,Female,Married,Human Resources,2,Travel_Rarely,5,4,0,3,3513,11,1,4,4,1,3,3,No,1,5,14,16,No,26-35
119,20,Sales,Sales Executive,Female,Divorced,Medical,2,Travel_Rarely,2,0,2,1,5753,18,1,4,3,3,2,3,No,3,1,4,10,No,18-25
120,18,Research & Development,Research Director,Male,Married,Medical,3,Travel_Rarely,17,15,14,6,9472,21,1,3,2,2,1,3,No,4,3,22,8,No,18-25
121,22,Research & Development,Manager,Male,Married,Medical,4,Travel_Rarely,2,0,0,1,7345,12,3,4,3,3,4,3,No,6,6,4,29,No,18-25
122,43,Sales,Sales Representative,Male,Single,Life Sciences,1,Travel_Rarely,0,0,14,0,3733,18,2,4,3,1,4,3,No,6,0,4,21,No,36-45
123,31,Research & Development,Research Scientist,Male,Single,Technical Degree,5,Travel_Rarely,34,11,12,30,4749,20,1,3,4,4,4,3,Yes,3,0,40,28,Yes,26-35
124,56,Sales,Sales Executive,Male,Divorced,Medical,3,Travel_Rarely,1,0,14,0,5857,22,2,3,4,4,3,3,No,6,5,13,25,Yes,55+
125,44,Human Resources,Manager,Male,Married,Life Sciences,1,Travel_Rarely,11,9,4,3,10545,14,1,1,4,2,2,3,Yes,1,6,25,22,No,36-45
126,26,Human Resources,Human Resources,Female,Married,Life Sciences,4,Travel_Rarely,1,0,2,0,3290,17,2,2,2,2,4,4,Yes,5,4,1,13,Yes,26-35
127,32,Sales,Manager,Male,Single,Medical,3,Travel_Rarely,7,6,13,4,8769,15,1,3,3,2,3,3,No,3,9,9,16,No,26-35
128,32,Research & Development,Healthcare Representative,Male,Married,Human Resources,1,Travel_Frequently,4,2,1,1,5450,18,2,4,3,4,1,3,No,0,7,10,8,No,26-35
129,43,Sales,Sales Executive,Male,Divorced,Life Sciences,3,Travel_Rarely,23,21,2,18,5650,22,0,1,2,3,3,3,No,4,3,25,12,Yes,36-45
130,59,Research & Development,Research Scientist,Male,Married,Technical Degree,1,Travel_Rarely,4,3,8,2,5377,25,3,4,1,1,4,3,No,4,2,8,17,No,55+
131,30,Research & Development,Manager,Male,Single,Marketing,1,Travel_Rarely,0,0,10,0,8753,16,1,3,4,1,4,3,No,4,6,6,16,Yes,26-35
132,49,Sales,Sales Representative,Female,Married,Life Sciences,4,Travel_Rarely,5,2,7,3,4864,24,3,2,2,3,1,3,No,3,3,17,9,No,46-55
133,56,Research & Development,Laboratory Technician,Male,Married,Life Sciences,5,Travel_Rarely,0,0,12,0,2640,25,1,1,4,4,2,3,No,1,0,1,25,Yes,55+
134,49,Sales,Sales Executive,Female,Married,Life Sciences,4,Non-Travel,9,8,2,2,6967,15,0,3,3,4,1,4,No,3,7,11,19,No,46-55
135,21,Sales,Manager,Male,Divorced,Marketing,1,Travel_Rarely,11,10,10,9,7457,11,0,3,2,1,1,3,No,3,4,14,17,No,18-25
136,47,Research & Development,Healthcare Representative,Male,Married,Life Sciences,3,Travel_Rarely,3,2,1,1,5059,13,3,4,1,2,4,4,No,6,7,7,24,No,46-55
137,54,Research & Development,Laboratory Technician,Male,Divorced,Life Sciences,4,Travel_Rarely,9,8,4,2,3507,20,1,2,4,2,4,3,No,5,7,20,8,No,46-55
138,40,Research & Development,Manager,Female,Married,Medical,5,Travel_Frequently,0,0,11,0,7973,19,2,3,3,1,2,3,No,4,4,8,12,No,36-45
139,56,Research & Development,Healthcare Representative,Male,Single,Marketing,1,Travel_Rarely,4,3,11,3,4580,25,1,4,3,1,4,3,No,1,7,12,9,No,55+
140,32,Human Resources,Human Resources,Female,Single,Life Sciences,4,Travel_Rarely,3,2,12,2,3815,24,2,1,1,3,1,3,No,2,6,6,6,No,26-35
141,60,Sales,Sales Representative,Male,Single,Life Sciences,4,Travel_Rarely,5,2,11,3,4844,19,3,4,1,3,1,3,Yes,1,2,18,25,No,55+
142,46,Research & Development,Laboratory Technician,Female,Divorced,Medical,4,Travel_Rarely,0,0,0,0,3289,15,3,1,4,3,2,3,No,6,3,8,28,Yes,46-55
143,53,Research & Development,Manager,Male,Married,Medical,4,Travel_Rarely,8,5,3,6,10256,13,0,4,3,3,4,3,No,3,6,11,10,No,46-55
144,30,Research & Development,Research Scientist,Female,Married,Technical Degree,3,Non-Travel,0,0,7,0,6724,16,2,2,1,3,4,3,No,0,3,1,9,No,26-35
145,49,Human Resources,Manager,Male,Single,Life Sciences,5,Travel_Rarely,6,3,0,4,11207,15,1,4,2,3,1,3,No,1,5,15,28,No,46-55
146,24,Research & Development,Manager,Female,Single,Technical Degree,5,Travel_Frequently,0,0,4,0,10915,25,0,2,1,2,1,3,Yes,4,1,0,29,No,18-25
147,39,Research & Development,Laboratory Technician,Male,Married,Marketing,1,Travel_Rarely,10,3,11,2,3206,11,3,2,2,1,4,3,No,0,1,16,4,Yes,36-45
148,45,Research & Development,Manufacturing Director,Male,Married,Medical,2,Travel_Rarely,1,0,3,0,6936,12,0,1,3,4,3,3,Yes,2,2,4,11,No,36-45
149,19,Human Resources,Human Resources,Male,Single,Marketing,3,Travel_Frequently,4,2,5,2,3876,22,1,4,4,3,1,4,No,2,9,15,21,No,18-25
150,59,Human Resources,Human Resources,Female,Married,Medical,1,Travel_Rarely,1,0,6,0,3704,15,1,4,3,2,1,3,No,0,6,8,22,No,55+
151,23,Research & Development,Manager,Male,Single,Life Sciences,1,Travel_Rarely,7,2,8,1,7935,24,3,4,3,1,1,3,No,6,2,14,6,No,18-25
152,45,Research & Development,Research Scientist,Female,Married,Medical,4,Travel_Rarely,2,1,0,1,4480,19,0,2,3,1,2,3,No,2,2,13,26,No,36-45
153,45,Sales,Sales Representative,Male,Married,Medical,2,Travel_Rarely,7,2,10,2,4765,22,2,3,3,1,4,4,No,0,3,14,18,No,36-45
154,37,Sales,Sales Executive,Male,Single,Medical,2,Travel_Frequently,2,1,9,0,6763,14,2,4,4,3,4,3,No,3,9,7,4,No,36-45
155,47,Research & Development,Manufacturing Director,Male,Divorced,Life Sciences,3,Travel_Rarely,8,4,3,6,6642,19,2,4,1,3,4,3,Yes,0,5,16,12,No,46-55
156,28,Sales,Sales Executive,Female,Single,Human Resources,2,Travel_Rarely,0,0,5,0,4519,13,1,3,4,4,1,3,No,3,0,13,9,No,26-35
157,45,Research & Development,Research Director,Female,Single,Medical,1,Travel_Rarely,1,0,9,0,8395,11,0,1,4,3,4,3,Yes,6,5,4,15,Yes,36-45
158,42,Sales,Sales Representative,Female,Single,Life Sciences,2,Travel_Rarely,4,1,6,0,3390,16,2,4,4,1,4,3,Yes,4,7,8,23,Yes,36-45
159,56,Research & Development,Research Director,Male,Married,Medical,2,Travel_Rarely,0,0,6,0,8763,25,0,3,4,1,4,4,No,4,7,3,9,No,55+
160,50,Research & Development,Laboratory Technician,Female,Married,Marketing,5,Travel_Rarely,1,0,7,0,4376,20,3,4,1,2,2,3,No,2,5,5,6,No,46-55
161,18,Human Resources,Manager,Female,Married,Technical Degree,1,Travel_Frequently,16,7,13,13,7654,24,2,2,3,2,2,4,No,5,5,17,11,Yes,18-25
162,44,Sales,Sales Executive,Male,Single,Medical,2,Travel_Rarely,22,9,9,15,4635,17,0,3,1,4,1,3,Yes,5,2,26,7,Yes,36-45
163,30,Research & Development,Research Director,Female,Single,Human Resources,2,Travel_Rarely,8,4,7,2,8060,14,1,2,1,2,4,4,Yes,0,1,17,25,No,26-35
164,58,Research & Development,Research Director,Female,Married,Life Sciences,4,Travel_Rarely,1,0,7,0,13188,20,3,3,3,4,1,4,No,6,6,8,14,Yes,55+
165,20,Sales,Manager,Female,Divorced,Medical,2,Travel_Rarely,1,0,7,0,12159,15,3,1,1,2,1,3,No,3,7,9,28,No,18-25
166,56,Research & Development,Research Scientist,Female,Divorced,Human Resources,2,Travel_Rarely,6,4,11,2,6764,14,3,2,4,1,1,3,No,4,9,12,16,No,55+
167,23,Research & Development,Research Director,Male,Single,Human Resources,5,Non-Travel,0,0,14,0,10028,13,3,4,4,3,1,3,Yes,6,5,6,15,No,18-25
