product_1,product_2,frequency,support_pct,confidence_pct,lift
Bookcases,Furnishings,259,1.03,11.3,0.96
Envelopes,Furnishings,255,1.02,11.0,0.93
Furnishings,Supplies,255,1.02,8.6,0.94
Envelopes,Paper,254,1.01,11.0,0.85
Appliances,Paper,253,1.01,15.0,1.16
Copiers,Phones,252,1.01,11.9,0.95
Accessories,Supplies,246,0.98,8.5,0.93
Accessories,Bookcases,246,0.98,8.5,0.93
Copiers,Labels,243,0.97,11.5,1.17
Paper,Supplies,233,0.93,7.2,0.79
Accessories,Fasteners,233,0.93,8.1,0.88
Bookcases,Labels,231,0.92,10.1,1.03
Fasteners,Labels,227,0.91,9.9,1.0
Accessories,Copiers,227,0.91,7.9,0.93
Labels,Supplies,226,0.9,9.2,1.01
Bookcases,Fasteners,225,0.9,9.9,1.07
Envelopes,Labels,225,0.9,9.7,0.99
Envelopes,Fasteners,224,0.89,9.7,1.05
Bookcases,Envelopes,222,0.89,9.7,1.05
Fasteners,Supplies,222,0.89,9.6,1.06
Copiers,Paper,219,0.87,10.3,0.8
Bookcases,Copiers,218,0.87,9.5,1.13
Copiers,Envelopes,218,0.87,10.3,1.11
Envelopes,Supplies,214,0.85,9.3,1.02
Copiers,Furnishings,212,0.85,10.0,0.84
Appliances,Phones,212,0.85,12.6,1.0
Copiers,Supplies,207,0.83,9.8,1.07
Bookcases,Supplies,203,0.81,8.9,0.98
Appliances,Furnishings,201,0.8,11.9,1.01
Accessories,Appliances,198,0.79,6.9,1.02
Copiers,Fasteners,193,0.77,9.1,0.99
Machines,Phones,191,0.76,13.4,1.07
Appliances,Chairs,186,0.74,11.0,0.87
Chairs,Machines,165,0.66,5.2,0.91
Appliances,Fasteners,162,0.65,9.6,1.04
Furnishings,Machines,161,0.64,5.4,0.96
Machines,Paper,158,0.63,11.1,0.86
Appliances,Supplies,156,0.62,9.3,1.02
Appliances,Envelopes,155,0.62,9.2,1.0
Labels,Machines,154,0.62,6.3,1.1
Appliances,Copiers,151,0.6,9.0,1.06
Binders,Tables,151,0.6,2.8,0.84
Appliances,Bookcases,149,0.6,8.8,0.97
Accessories,Machines,146,0.58,5.1,0.89
Bookcases,Machines,145,0.58,6.3,1.12
Appliances,Labels,144,0.58,8.5,0.87
Envelopes,Machines,135,0.54,5.8,1.03
Fasteners,Machines,131,0.52,5.7,1.0
Storage,Tables,129,0.52,2.8,0.85
Machines,Supplies,124,0.5,8.7,0.96
Copiers,Machines,121,0.48,5.7,1.0
Art,Tables,115,0.46,2.6,0.79
Phones,Tables,103,0.41,3.3,0.98
Accessories,Tables,99,0.4,3.4,1.03
Appliances,Machines,99,0.4,5.9,1.03
Chairs,Tables,97,0.39,3.0,0.91
Furnishings,Tables,97,0.39,3.3,0.98
Paper,Tables,96,0.38,3.0,0.89
Labels,Tables,80,0.32,3.3,0.97
Copiers,Tables,67,0.27,3.2,0.95
Envelopes,Tables,67,0.27,2.9,0.87
Appliances,Tables,61,0.24,3.6,1.08
Bookcases,Tables,61,0.24,2.7,0.8
Fasteners,Tables,58,0.23,2.5,0.75
Supplies,Tables,57,0.23,2.5,0.75
Machines,Tables,38,0.15,2.7,0.8
