product_1,product_2,frequency,support_pct,confidence_pct,lift
Envelopes,Labels,225,0.9,9.7,0.99
Furnishings,Paper,379,1.51,12.8,0.99
Bookcases,Supplies,203,0.81,8.9,0.98
Phones,Tables,103,0.41,3.3,0.98
Binders,Paper,684,2.73,12.7,0.98
Furnishings,Tables,97,0.39,3.3,0.98
Furnishings,Labels,286,1.14,9.6,0.98
Appliances,Bookcases,149,0.6,8.8,0.97
Binders,Bookcases,479,1.91,8.9,0.97
Bookcases,Chairs,281,1.12,12.3,0.97
Labels,Tables,80,0.32,3.3,0.97
Binders,Storage,944,3.77,17.5,0.97
Art,Bookcases,385,1.54,8.8,0.97
Chairs,Furnishings,366,1.46,11.5,0.97
Furnishings,Machines,161,0.64,5.4,0.96
Fasteners,Phones,276,1.1,12.0,0.96
Bookcases,Furnishings,259,1.03,11.3,0.96
Bookcases,Storage,396,1.58,17.3,0.96
Chairs,Paper,394,1.57,12.4,0.96
Envelopes,Phones,277,1.11,12.0,0.96
Machines,Supplies,124,0.5,8.7,0.96
Labels,Storage,422,1.69,17.2,0.95
Art,Phones,520,2.08,11.9,0.95
Copiers,Phones,252,1.01,11.9,0.95
Accessories,Labels,269,1.07,9.3,0.95
Art,Binders,895,3.57,20.5,0.95
Fasteners,Furnishings,260,1.04,11.3,0.95
Copiers,Tables,67,0.27,3.2,0.95
Binders,Phones,632,2.52,11.7,0.94
Bookcases,Phones,270,1.08,11.8,0.94
Accessories,Binders,588,2.35,20.4,0.94
Accessories,Chairs,347,1.39,12.0,0.94
Phones,Supplies,267,1.07,8.5,0.94
Furnishings,Supplies,255,1.02,8.6,0.94
Copiers,Storage,362,1.45,17.1,0.94
Paper,Phones,380,1.52,11.8,0.94
Phones,Storage,536,2.14,17.1,0.94
Accessories,Storage,492,1.97,17.0,0.94
Envelopes,Furnishings,255,1.02,11.0,0.93
Accessories,Copiers,227,0.91,7.9,0.93
Accessories,Art,470,1.88,16.3,0.93
Accessories,Bookcases,246,0.98,8.5,0.93
Binders,Copiers,424,1.69,7.9,0.93
Chairs,Labels,290,1.16,9.1,0.93
Accessories,Supplies,246,0.98,8.5,0.93
Binders,Furnishings,595,2.38,11.0,0.93
Storage,Supplies,385,1.54,8.5,0.93
Binders,Supplies,455,1.82,8.4,0.93
Fasteners,Storage,383,1.53,16.6,0.92
Chairs,Machines,165,0.66,5.2,0.91
Chairs,Tables,97,0.39,3.0,0.91
Binders,Labels,480,1.92,8.9,0.91
Binders,Envelopes,452,1.81,8.4,0.91
Chairs,Phones,362,1.45,11.4,0.91
Envelopes,Storage,378,1.51,16.4,0.9
Art,Labels,387,1.55,8.9,0.9
Art,Furnishings,467,1.87,10.7,0.9
Art,Copiers,333,1.33,7.6,0.9
Labels,Phones,276,1.1,11.2,0.9
Appliances,Storage,272,1.09,16.1,0.89
Furnishings,Storage,478,1.91,16.1,0.89
Fasteners,Paper,265,1.06,11.5,0.89
Art,Envelopes,359,1.43,8.2,0.89
Bookcases,Paper,262,1.05,11.5,0.89
Paper,Tables,96,0.38,3.0,0.89
Accessories,Machines,146,0.58,5.1,0.89
Accessories,Fasteners,233,0.93,8.1,0.88
Paper,Storage,516,2.06,16.0,0.88
Labels,Paper,280,1.12,11.4,0.88
Appliances,Chairs,186,0.74,11.0,0.87
Appliances,Labels,144,0.58,8.5,0.87
Envelopes,Tables,67,0.27,2.9,0.87
Binders,Chairs,595,2.38,11.0,0.87
Binders,Fasteners,430,1.72,8.0,0.87
Machines,Paper,158,0.63,11.1,0.86
Art,Paper,480,1.92,11.0,0.85
Storage,Tables,129,0.52,2.8,0.85
Envelopes,Paper,254,1.01,11.0,0.85
Art,Chairs,467,1.87,10.7,0.84
Copiers,Furnishings,212,0.85,10.0,0.84
Art,Supplies,336,1.34,7.7,0.84
Binders,Tables,151,0.6,2.8,0.84
Chairs,Storage,474,1.89,14.9,0.82
Bookcases,Tables,61,0.24,2.7,0.8
Machines,Tables,38,0.15,2.7,0.8
Copiers,Paper,219,0.87,10.3,0.8
Art,Tables,115,0.46,2.6,0.79
Paper,Supplies,233,0.93,7.2,0.79
Fasteners,Tables,58,0.23,2.5,0.75
Supplies,Tables,57,0.23,2.5,0.75
