Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CG-10098,31,26,30699.45,5,1,4,3.3333333333333335,New Customers
CG-10099,85,33,35487.09,4,3,5,4.0,Loyal Customers
CG-10100,167,39,24544.3,2,5,3,3.3333333333333335,At Risk
CG-10101,210,35,24011.47,1,4,3,2.6666666666666665,At Risk
CG-10102,85,35,34796.06999999999,4,4,5,4.333333333333333,Champions
CG-10103,215,34,15741.52,1,4,1,2.0,Needs Attention
CG-10104,109,31,18320.87,3,2,2,2.3333333333333335,Needs Attention
CG-10105,34,26,19010.34,5,1,2,2.6666666666666665,New Customers
CG-10106,167,39,29664.05,2,5,4,3.6666666666666665,At Risk
CG-10107,132,37,31042.94,3,4,4,3.6666666666666665,Loyal Customers
CG-10108,21,30,29345.52,5,2,4,3.6666666666666665,New Customers
CG-10109,118,30,19497.68,3,2,2,2.3333333333333335,Needs Attention
CG-10110,126,42,38132.49,3,5,5,4.333333333333333,Loyal Customers
CG-10111,287,24,23360.53,1,1,3,1.6666666666666667,Lost
CG-10112,220,28,26606.65,1,2,4,2.3333333333333335,Lost
CG-10113,85,27,17253.81,4,1,2,2.3333333333333335,New Customers
CG-10114,80,44,37618.32,4,5,5,4.666666666666667,Champions
CG-10115,317,33,19340.25,1,3,2,2.0,Needs Attention
CG-10116,179,23,25439.79,1,1,3,1.6666666666666667,Lost
CG-10117,201,27,25790.41,1,1,3,1.6666666666666667,Lost
CG-10118,154,40,32696.45,2,5,4,3.6666666666666665,At Risk
CG-10119,112,30,16305.5,3,2,1,2.0,Needs Attention
CG-10120,13,29,12339.5,5,2,1,2.6666666666666665,New Customers
CG-10121,97,25,10949.15,4,1,1,2.0,New Customers
CG-10122,270,31,25341.01,1,2,3,2.0,Lost
CG-10123,102,43,56549.73,4,5,5,4.666666666666667,Champions
CG-10124,135,29,24016.04,3,2,3,2.6666666666666665,Needs Attention
CG-10125,14,33,22430.7,5,3,3,3.6666666666666665,Loyal Customers
CG-10126,96,31,42927.48,4,2,5,3.6666666666666665,New Customers
CG-10127,124,20,18264.19,3,1,2,2.0,Needs Attention
CG-10128,206,22,12602.41,1,1,1,1.0,Lost
CG-10129,106,29,16047.47,3,2,1,2.0,Needs Attention
CG-10130,108,33,44396.96,3,3,5,3.6666666666666665,Loyal Customers
CG-10131,196,22,18167.57,1,1,2,1.3333333333333333,Lost
CG-10132,91,35,24545.43,4,4,3,3.6666666666666665,Loyal Customers
CG-10133,174,35,37594.13,2,4,5,3.6666666666666665,At Risk
CG-10134,197,28,19793.760000000002,1,2,2,1.6666666666666667,Lost
CG-10135,66,32,22357.670000000002,5,3,3,3.6666666666666665,Loyal Customers
CG-10136,36,28,18936.899999999998,5,2,2,3.0,New Customers
CG-10137,228,27,23190.68,1,1,3,1.6666666666666667,Lost
CG-10138,77,33,51091.74,4,3,5,4.0,Loyal Customers
CG-10139,182,23,10991.57,1,1,1,1.0,Lost
CG-10140,34,36,30991.85,5,4,4,4.333333333333333,Champions
CG-10141,173,33,32130.21,2,3,4,3.0,At Risk
CG-10142,262,31,16749.34,1,2,1,1.3333333333333333,Lost
CG-10143,25,29,31665.64,5,2,4,3.6666666666666665,New Customers
CG-10144,134,33,22414.59,3,3,3,3.0,Loyal Customers
CG-10145,201,30,17418.09,1,2,2,1.6666666666666667,Lost
CG-10146,64,27,30235.28,5,1,4,3.3333333333333335,New Customers
CG-10147,93,35,22632.78,4,4,3,3.6666666666666665,Loyal Customers
CG-10148,109,26,31349.210000000003,3,1,4,2.6666666666666665,Potential Loyalists
CG-10149,65,31,22412.13,5,2,3,3.3333333333333335,New Customers
CG-10150,70,42,22372.57,4,5,3,4.0,Loyal Customers
CG-10151,116,30,21543.07,3,2,2,2.3333333333333335,Needs Attention
CG-10152,55,35,23085.68,5,4,3,4.0,Loyal Customers
CG-10153,179,29,25854.41,1,2,3,2.0,Lost
CG-10154,108,30,33279.6,3,2,5,3.3333333333333335,Potential Loyalists
CG-10155,45,28,25781.0,5,2,3,3.3333333333333335,New Customers
CG-10156,60,32,23370.71,5,3,3,3.6666666666666665,Loyal Customers
CG-10157,113,30,21570.31,3,2,2,2.3333333333333335,Needs Attention
CG-10158,83,36,26355.94,4,4,3,3.6666666666666665,Loyal Customers
CG-10159,61,37,34549.87,5,4,5,4.666666666666667,Champions
CG-10160,201,28,13097.3,1,2,1,1.3333333333333333,Lost
CG-10161,108,33,23137.67,3,3,3,3.0,Loyal Customers
CG-10162,112,37,29638.97,3,4,4,3.6666666666666665,Loyal Customers
CG-10163,187,25,14854.5,1,1,1,1.0,Lost
CG-10164,130,27,27293.15,3,1,4,2.6666666666666665,Potential Loyalists
CG-10165,38,29,19125.14,5,2,2,3.0,New Customers
CG-10166,86,31,16653.89,4,2,1,2.3333333333333335,New Customers
CG-10167,142,27,23070.5,2,1,3,2.0,Needs Attention
CG-10168,32,39,26706.260000000002,5,5,4,4.666666666666667,Champions
CG-10169,103,31,24969.81,3,2,3,2.6666666666666665,Needs Attention
CG-10170,233,28,8732.05,1,2,1,1.3333333333333333,Lost
CG-10171,45,30,24144.39,5,2,3,3.3333333333333335,New Customers
CG-10172,147,29,40257.33,2,2,5,3.0,Needs Attention
CG-10173,46,37,18851.31,5,4,2,3.6666666666666665,Needs Attention
CG-10174,31,42,25081.44,5,5,3,4.333333333333333,Loyal Customers
CG-10175,28,26,27270.61,5,1,4,3.3333333333333335,New Customers
CG-10176,103,30,18983.55,3,2,2,2.3333333333333335,Needs Attention
CG-10177,197,43,34853.47,1,5,5,3.6666666666666665,At Risk
CG-10178,218,21,13812.26,1,1,1,1.0,Lost
CG-10179,101,23,9545.94,4,1,1,2.0,New Customers
CG-10180,99,36,35877.909999999996,4,4,5,4.333333333333333,Champions
CG-10181,170,28,19352.88,2,2,2,2.0,Needs Attention
CG-10182,179,29,23838.26,1,2,3,2.0,Lost
CG-10183,152,18,14638.4,2,1,1,1.3333333333333333,Needs Attention
CG-10184,179,31,16349.109999999999,1,2,1,1.3333333333333333,Lost
CG-10185,147,26,10472.689999999999,2,1,1,1.3333333333333333,Needs Attention
CG-10186,202,32,26923.55,1,3,4,2.6666666666666665,At Risk
CG-10187,182,26,21982.46,1,1,3,1.6666666666666667,Lost
CG-10188,169,27,19170.170000000002,2,1,2,1.6666666666666667,Needs Attention
CG-10189,69,26,32698.3,4,1,4,3.0,New Customers
CG-10190,123,26,27239.73,3,1,4,2.6666666666666665,Potential Loyalists
CG-10191,253,25,11019.65,1,1,1,1.0,Lost
CG-10192,162,32,22297.23,2,3,3,2.6666666666666665,At Risk
CG-10193,184,41,53248.159999999996,1,5,5,3.6666666666666665,At Risk
CG-10194,139,36,36242.67,2,4,5,3.6666666666666665,At Risk
CG-10195,37,29,22185.18,5,2,3,3.3333333333333335,New Customers
CG-10196,60,24,9191.9,5,1,1,2.3333333333333335,New Customers
CG-10197,137,26,24295.76,2,1,3,2.0,Needs Attention
CG-10198,87,24,15454.33,4,1,1,2.0,New Customers
CG-10199,214,29,28097.55,1,2,4,2.3333333333333335,Lost
CG-10200,88,43,33368.56,4,5,5,4.666666666666667,Champions
CG-10201,113,28,10128.41,3,2,1,2.0,Needs Attention
CG-10202,103,35,39838.64,3,4,5,4.0,Loyal Customers
CG-10203,163,24,14405.0,2,1,1,1.3333333333333333,Needs Attention
CG-10204,100,34,30256.43,4,4,4,4.0,Champions
CG-10205,123,39,33354.78,3,5,5,4.333333333333333,Loyal Customers
CG-10206,72,38,29790.7,4,5,4,4.333333333333333,Champions
CG-10207,119,25,27523.989999999998,3,1,4,2.6666666666666665,Potential Loyalists
CG-10208,95,36,27063.4,4,4,4,4.0,Champions
CG-10209,72,39,32429.14,4,5,4,4.333333333333333,Champions
CG-10210,203,28,24855.9,1,2,3,2.0,Lost
CG-10211,166,39,22573.7,2,5,3,3.3333333333333335,At Risk
CG-10212,207,27,38203.06,1,1,5,2.3333333333333335,Lost
CG-10213,119,35,9790.35,3,4,1,2.6666666666666665,Needs Attention
CG-10214,152,32,23204.71,2,3,3,2.6666666666666665,At Risk
CG-10215,197,29,16107.199999999999,1,2,1,1.3333333333333333,Lost
CG-10216,53,28,14929.52,5,2,1,2.6666666666666665,New Customers
CG-10217,100,33,20313.62,4,3,2,3.0,Needs Attention
CG-10218,247,27,13649.49,1,1,1,1.0,Lost
CG-10219,181,32,32169.19,1,3,4,2.6666666666666665,At Risk
CG-10220,121,32,13827.82,3,3,1,2.3333333333333335,Needs Attention
CG-10221,30,45,32732.29,5,5,4,4.666666666666667,Champions
CG-10222,66,45,37882.659999999996,5,5,5,5.0,Champions
CG-10223,126,24,17955.53,3,1,2,2.0,Needs Attention
CG-10224,207,29,31491.129999999997,1,2,4,2.3333333333333335,Lost
CG-10225,208,27,31095.59,1,1,4,2.0,Lost
CG-10226,133,34,14969.630000000001,3,4,1,2.6666666666666665,Needs Attention
CG-10227,85,28,29786.03,4,2,4,3.3333333333333335,New Customers
CG-10228,64,35,26171.54,5,4,3,4.0,Loyal Customers
CG-10229,145,31,24019.21,2,3,3,2.6666666666666665,At Risk
CG-10230,49,38,27198.32,5,5,4,4.666666666666667,Champions
CG-10231,174,32,23611.02,2,3,3,2.6666666666666665,At Risk
CG-10232,71,40,30908.170000000002,4,5,4,4.333333333333333,Champions
CG-10233,97,33,30856.16,4,3,4,3.6666666666666665,Loyal Customers
CG-10234,82,27,31884.93,4,1,4,3.0,New Customers
CG-10235,119,37,20848.170000000002,3,4,2,3.0,Needs Attention
CG-10236,274,17,12331.619999999999,1,1,1,1.0,Lost
CG-10237,72,34,19593.07,4,4,2,3.3333333333333335,Needs Attention
CG-10238,143,27,11007.1,2,1,1,1.3333333333333333,Needs Attention
CG-10239,180,23,21699.620000000003,1,1,2,1.3333333333333333,Lost
CG-10240,148,31,20515.37,2,3,2,2.3333333333333335,Needs Attention
CG-10241,206,29,44200.39,1,2,5,2.6666666666666665,Lost
CG-10242,191,22,11556.27,1,1,1,1.0,Lost
CG-10243,101,24,22338.32,4,1,3,2.6666666666666665,New Customers
CG-10244,138,28,29817.010000000002,2,2,4,2.6666666666666665,Needs Attention
CG-10245,151,29,11712.48,2,2,1,1.6666666666666667,Needs Attention
CG-10246,97,42,28601.85,4,5,4,4.333333333333333,Champions
CG-10247,247,30,18973.7,1,2,2,1.6666666666666667,Lost
CG-10248,156,23,15221.56,2,1,1,1.3333333333333333,Needs Attention
CG-10249,139,28,14508.75,2,2,1,1.6666666666666667,Needs Attention
CG-10250,144,36,19766.13,2,4,2,2.6666666666666665,Needs Attention
CG-10251,180,33,24438.530000000002,1,3,3,2.3333333333333335,At Risk
CG-10252,144,34,22057.54,2,4,3,3.0,At Risk
CG-10253,136,40,17300.42,3,5,2,3.3333333333333335,Needs Attention
CG-10254,145,34,17561.0,2,4,2,2.6666666666666665,Needs Attention
CG-10255,34,27,23354.28,5,1,3,3.0,New Customers
CG-10256,93,43,19027.94,4,5,2,3.6666666666666665,Needs Attention
CG-10257,167,28,14719.22,2,2,1,1.6666666666666667,Needs Attention
CG-10258,107,31,23256.14,3,3,3,3.0,Loyal Customers
CG-10259,177,28,28772.19,2,2,4,2.6666666666666665,Needs Attention
CG-10260,71,39,31551.85,4,5,4,4.333333333333333,Champions
CG-10261,139,28,27862.61,2,2,4,2.6666666666666665,Needs Attention
CG-10262,118,33,18321.09,3,3,2,2.6666666666666665,Needs Attention
CG-10263,115,34,23045.28,3,4,3,3.3333333333333335,Loyal Customers
CG-10264,69,25,17421.850000000002,4,1,2,2.3333333333333335,New Customers
CG-10265,86,41,45489.67,4,5,5,4.666666666666667,Champions
CG-10266,85,24,26152.75,4,1,3,2.6666666666666665,New Customers
CG-10267,61,37,30202.32,5,4,4,4.333333333333333,Champions
CG-10268,19,37,13394.96,5,4,1,3.3333333333333335,Needs Attention
CG-10269,171,30,16540.1,2,2,1,1.6666666666666667,Needs Attention
CG-10270,142,23,25081.58,2,1,3,2.0,Needs Attention
CG-10271,228,36,30825.4,1,4,4,3.0,At Risk
CG-10272,153,31,19574.9,2,3,2,2.3333333333333335,Needs Attention
CG-10273,42,44,26213.59,5,5,3,4.333333333333333,Loyal Customers
CG-10274,57,36,26239.1,5,4,3,4.0,Loyal Customers
CG-10275,63,29,20308.91,5,2,2,3.0,New Customers
CG-10276,147,30,17366.79,2,2,2,2.0,Needs Attention
CG-10277,93,33,28994.92,4,3,4,3.6666666666666665,Loyal Customers
CG-10278,164,32,31639.82,2,3,4,3.0,At Risk
CG-10279,120,33,17248.4,3,3,2,2.6666666666666665,Needs Attention
CG-10280,122,32,36197.93,3,3,5,3.6666666666666665,Loyal Customers
CG-10281,183,37,29655.89,1,4,4,3.0,At Risk
CG-10282,11,37,40239.310000000005,5,4,5,4.666666666666667,Champions
CG-10283,230,20,7668.71,1,1,1,1.0,Lost
CG-10284,54,30,19906.06,5,2,2,3.0,New Customers
CG-10285,246,29,27327.7,1,2,4,2.3333333333333335,Lost
CG-10286,217,28,16474.31,1,2,1,1.3333333333333333,Lost
CG-10287,84,40,33158.38,4,5,5,4.666666666666667,Champions
CG-10288,124,24,34805.71,3,1,5,3.0,Potential Loyalists
CG-10289,96,29,41842.97,4,2,5,3.6666666666666665,New Customers
CG-10290,19,41,28224.920000000002,5,5,4,4.666666666666667,Champions
CG-10291,62,35,40746.47,5,4,5,4.666666666666667,Champions
CG-10292,85,39,28813.32,4,5,4,4.333333333333333,Champions
CG-10293,105,27,21307.55,3,1,2,2.0,Needs Attention
CG-10294,118,31,18237.2,3,3,2,2.6666666666666665,Needs Attention
CG-10295,163,32,27752.12,2,3,4,3.0,At Risk
CG-10296,168,32,25076.98,2,3,3,2.6666666666666665,At Risk
CG-10297,83,35,22540.87,4,4,3,3.6666666666666665,Loyal Customers
CG-10298,167,24,11106.21,2,1,1,1.3333333333333333,Needs Attention
CG-10299,72,44,32760.45,4,5,4,4.333333333333333,Champions
CG-10300,74,30,28635.12,4,2,4,3.3333333333333335,New Customers
CG-10301,34,32,32191.03,5,3,4,4.0,Loyal Customers
CG-10302,153,29,15939.47,2,2,1,1.6666666666666667,Needs Attention
CG-10303,124,35,25755.94,3,4,3,3.3333333333333335,Loyal Customers
CG-10304,50,35,23444.86,5,4,3,4.0,Loyal Customers
CG-10305,149,31,23773.38,2,3,3,2.6666666666666665,At Risk
CG-10306,124,33,27164.63,3,3,4,3.3333333333333335,Loyal Customers
CG-10307,152,27,8111.320000000001,2,1,1,1.3333333333333333,Needs Attention
CG-10308,24,30,31340.829999999998,5,2,4,3.6666666666666665,New Customers
CG-10309,205,33,25180.54,1,3,3,2.3333333333333335,At Risk
CG-10310,19,34,20427.91,5,4,2,3.6666666666666665,Needs Attention
CG-10311,84,37,29221.61,4,4,4,4.0,Champions
CG-10312,140,39,34426.939999999995,2,5,5,4.0,At Risk
CG-10313,61,32,22372.38,5,3,3,3.6666666666666665,Loyal Customers
CG-10314,44,40,44862.3,5,5,5,5.0,Champions
CG-10315,83,34,26208.879999999997,4,4,3,3.6666666666666665,Loyal Customers
CG-10316,147,26,33338.51,2,1,5,2.6666666666666665,Needs Attention
CG-10317,165,33,19911.96,2,3,2,2.3333333333333335,Needs Attention
CG-10318,234,39,33414.15,1,5,5,3.6666666666666665,At Risk
CG-10319,251,30,27855.04,1,2,4,2.3333333333333335,Lost
CG-10320,75,40,23310.579999999998,4,5,3,4.0,Loyal Customers
CG-10321,124,30,24880.63,3,2,3,2.6666666666666665,Needs Attention
CG-10322,44,32,33523.07,5,3,5,4.333333333333333,Loyal Customers
CG-10323,199,31,33735.31,1,3,5,3.0,At Risk
CG-10324,173,29,16757.22,2,2,1,1.6666666666666667,Needs Attention
CG-10325,147,26,18681.260000000002,2,1,2,1.6666666666666667,Needs Attention
CG-10326,131,30,31691.81,3,2,4,3.0,Potential Loyalists
CG-10327,61,39,33657.07,5,5,5,5.0,Champions
CG-10328,200,34,22268.050000000003,1,4,3,2.6666666666666665,At Risk
CG-10329,180,37,34524.19,1,4,5,3.3333333333333335,At Risk
CG-10330,136,19,10472.26,3,1,1,1.6666666666666667,Needs Attention
CG-10331,69,32,25669.9,4,3,3,3.3333333333333335,Loyal Customers
CG-10332,97,33,26353.44,4,3,3,3.3333333333333335,Loyal Customers
CG-10333,46,29,14357.49,5,2,1,2.6666666666666665,New Customers
CG-10334,226,25,18397.0,1,1,2,1.3333333333333333,Lost
CG-10335,143,30,14663.509999999998,2,2,1,1.6666666666666667,Needs Attention
CG-10336,157,22,36418.82,2,1,5,2.6666666666666665,Needs Attention
CG-10337,47,25,25864.11,5,1,3,3.0,New Customers
CG-10338,70,43,30430.41,4,5,4,4.333333333333333,Champions
CG-10339,121,30,21450.75,3,2,2,2.3333333333333335,Needs Attention
CG-10340,142,32,22843.8,2,3,3,2.6666666666666665,At Risk
CG-10341,82,31,22045.13,4,3,3,3.3333333333333335,Loyal Customers
CG-10342,184,29,28392.3,1,2,4,2.3333333333333335,Lost
CG-10343,83,28,12854.880000000001,4,2,1,2.3333333333333335,New Customers
CG-10344,178,37,30618.2,1,4,4,3.0,At Risk
CG-10345,90,19,14445.07,4,1,1,2.0,New Customers
CG-10346,4,30,20441.64,5,2,2,3.0,New Customers
CG-10347,103,26,24936.06,3,1,3,2.3333333333333335,Needs Attention
CG-10348,169,24,12145.16,2,1,1,1.3333333333333333,Needs Attention
CG-10349,149,30,16600.27,2,2,1,1.6666666666666667,Needs Attention
CG-10350,149,46,40290.54,2,5,5,4.0,At Risk
CG-10351,155,33,25306.85,2,3,3,2.6666666666666665,At Risk
CG-10352,166,32,17146.22,2,3,1,2.0,Needs Attention
CG-10353,164,33,22869.57,2,3,3,2.6666666666666665,At Risk
CG-10354,63,38,31595.58,5,5,4,4.666666666666667,Champions
CG-10355,125,27,23464.989999999998,3,1,3,2.3333333333333335,Needs Attention
CG-10356,212,25,14483.949999999999,1,1,1,1.0,Lost
CG-10357,44,22,10872.83,5,1,1,2.3333333333333335,New Customers
CG-10358,167,31,35789.71,2,3,5,3.3333333333333335,At Risk
CG-10359,52,24,24263.77,5,1,3,3.0,New Customers
CG-10360,95,40,20899.6,4,5,2,3.6666666666666665,Needs Attention
CG-10361,125,34,15348.18,3,4,1,2.6666666666666665,Needs Attention
CG-10362,110,37,12252.57,3,4,1,2.6666666666666665,Needs Attention
CG-10363,62,30,25140.5,5,2,3,3.3333333333333335,New Customers
CG-10364,97,37,29694.72,4,4,4,4.0,Champions
CG-10365,245,40,27850.48,1,5,4,3.3333333333333335,At Risk
CG-10366,147,37,38244.22,2,4,5,3.6666666666666665,At Risk
CG-10367,98,27,11660.26,4,1,1,2.0,New Customers
CG-10368,37,41,30967.739999999998,5,5,4,4.666666666666667,Champions
CG-10369,114,29,18699.190000000002,3,2,2,2.3333333333333335,Needs Attention
CG-10370,145,32,8773.87,2,3,1,2.0,Needs Attention
CG-10371,105,30,22815.11,3,2,3,2.6666666666666665,Needs Attention
CG-10372,178,27,17660.100000000002,1,1,2,1.3333333333333333,Lost
CG-10373,92,31,20567.059999999998,4,3,2,3.0,Needs Attention
CG-10374,130,26,18501.05,3,1,2,2.0,Needs Attention
CG-10375,122,31,13339.47,3,3,1,2.3333333333333335,Needs Attention
CG-10376,119,29,17341.21,3,2,2,2.3333333333333335,Needs Attention
CG-10377,69,31,26643.61,4,3,4,3.6666666666666665,Loyal Customers
CG-10378,131,33,19740.35,3,3,2,2.6666666666666665,Needs Attention
CG-10379,99,39,36466.36,4,5,5,4.666666666666667,Champions
CG-10380,11,37,38507.130000000005,5,4,5,4.666666666666667,Champions
CG-10381,268,32,31875.04,1,3,4,2.6666666666666665,At Risk
CG-10382,121,29,22690.149999999998,3,2,3,2.6666666666666665,Needs Attention
CG-10383,55,34,51927.26,5,4,5,4.666666666666667,Champions
CG-10384,120,30,11541.83,3,2,1,2.0,Needs Attention
CG-10385,129,31,21813.48,3,3,3,3.0,Loyal Customers
CG-10386,82,34,24812.27,4,4,3,3.6666666666666665,Loyal Customers
CG-10387,179,32,25918.06,1,3,3,2.3333333333333335,At Risk
CG-10388,161,32,13219.25,2,3,1,2.0,Needs Attention
CG-10389,49,26,17627.29,5,1,2,2.6666666666666665,New Customers
CG-10390,114,21,19558.39,3,1,2,2.0,Needs Attention
CG-10391,124,27,15459.45,3,1,1,1.6666666666666667,Needs Attention
CG-10392,39,47,33690.2,5,5,5,5.0,Champions
CG-10393,166,31,11905.51,2,3,1,2.0,Needs Attention
CG-10394,184,38,15459.15,1,5,1,2.3333333333333335,Needs Attention
CG-10395,155,38,17033.61,2,5,1,2.6666666666666665,Needs Attention
CG-10396,70,37,47301.35999999999,4,4,5,4.333333333333333,Champions
CG-10397,190,36,32117.02,1,4,4,3.0,At Risk
CG-10398,95,36,21627.07,4,4,2,3.3333333333333335,Needs Attention
CG-10399,110,36,33505.68,3,4,5,4.0,Loyal Customers
CG-10400,90,39,41080.759999999995,4,5,5,4.666666666666667,Champions
